Id,وقت صعود المركبة,وقت النزول من المركبة,Pickup LONGITUDE,Pickup LATITUDE,Drop off LATITUDE,Drop off LONGTIDE,المسافة,المبلغ المدفوع,المبلغ المدعوم,المبلغ الإجمالي,تاريخ الرحلة
1,2021-01-01 00:07:30,2021-01-01 00:25:46,36.57,28.41,28.34,36.58,7.572,4.7,18.8,23.5,2021-01-01 00:26:06
2,2021-01-01 00:17:25,2021-01-01 00:26:42,49.56,27.14,27.13,49.53,4.267,3.16,12.64,15.8,2021-01-01 00:27:00
3,2021-01-01 00:19:34,2021-01-01 00:27:49,39.21,21.55,21.56,39.21,1.719,2.19,8.78,10.97,2021-01-01 00:28:09
4,2021-01-01 00:12:30,2021-01-01 00:29:17,42.54,16.9,16.88,42.58,4.522,3.86,15.45,19.31,2021-01-01 00:29:36
5,2021-01-01 00:14:48,2021-01-01 00:30:29,39.63,24.43,24.48,39.61,4.626,3.34,13.34,16.68,2021-01-01 00:30:49
6,2021-01-01 00:21:09,2021-01-01 00:31:21,43.95,26.37,26.39,43.96,5.23,3.31,13.25,16.56,2021-01-01 00:31:41
7,2021-01-01 00:22:42,2021-01-01 00:31:53,40.43,21.29,21.28,40.45,2.814,2.74,10.98,13.72,2021-01-01 00:32:13
8,2021-01-01 00:24:09,2021-01-01 00:32:30,49.58,25.44,25.41,49.57,2.294,2.29,9.18,11.47,2021-01-01 00:32:50
9,2021-01-01 00:24:22,2021-01-01 00:33:32,46.78,24.69,24.67,46.74,3.644,3.06,12.22,15.28,2021-01-01 00:33:51
10,2021-01-01 00:14:15,2021-01-01 00:34:18,43.93,26.37,26.37,43.97,6.614,4.4,17.58,21.98,2021-01-01 00:34:37
11,2021-01-01 00:15:12,2021-01-01 00:36:54,39.28,21.43,21.38,39.29,6.951,5.09,20.37,25.46,2021-01-01 00:37:15
12,2021-01-01 00:03:29,2021-01-01 00:38:42,46.62,24.75,24.79,46.79,14.199,9.13,36.51,45.64,2021-01-01 00:39:02
13,2021-01-01 00:31:23,2021-01-01 00:39:34,39.14,21.54,21.56,39.16,2.077,2.33,9.34,11.67,2021-01-01 00:39:53
14,2021-01-01 00:24:41,2021-01-01 00:39:35,36.51,28.35,28.33,36.52,7.917,4.66,18.62,23.28,2021-01-01 00:39:59
15,2021-01-01 00:23:56,2021-01-01 00:40:54,42.54,16.9,16.89,42.56,4.197,3.75,15.02,18.77,2021-01-01 00:41:14
16,2021-01-01 00:23:52,2021-01-01 00:42:08,46.64,24.58,24.64,46.57,9.891,6.27,25.08,31.35,2021-01-01 00:42:28
17,2021-01-01 00:13:20,2021-01-01 00:42:54,39.56,24.5,24.44,39.66,15.777,8.1,32.39,40.49,2021-01-01 00:43:14
18,2021-01-01 00:39:56,2021-01-01 00:43:07,49.54,25.36,25.36,49.54,0.626,2.1,8.39,10.49,2021-01-01 00:43:26
